Family,Action / Sub-line,Topic ID 2026,Manager,Amount (EUR),Amount Type,Duration,EU Funding Rate,Deadline 2027 (speculative),Practical Implication / Notes
Cooperation Partnerships (KA220),Youth (KA220-YOU),KA220-YOU-2027,National Agency,"400,000 €",Pre-defined lump sum,12-36 months,Pre-fixed lump sum,5 March 2027 (speculative),"Total project cost expected HIGHER than lump sum (own funds, in-kind, services)."
Cooperation Partnerships (European NGOs),European NGOs - Education & Training,ERASMUS-EDU-2027-PCOOP-ENGO,EACEA,"120,000 €",Pre-defined lump sum,12-36 months,Pre-fixed lump sum,5 March 2027 (speculative),Same logic as KA220 sectorial. Total project cost expected HIGHER than EU lump sum.
Cooperation Partnerships (European NGOs),European NGOs - Education & Training,ERASMUS-EDU-2027-PCOOP-ENGO,EACEA,"250,000 €",Pre-defined lump sum,12-36 months,Pre-fixed lump sum,5 March 2027 (speculative),Same logic as KA220 sectorial. Total project cost expected HIGHER than EU lump sum.
Cooperation Partnerships (European NGOs),European NGOs - Education & Training,ERASMUS-EDU-2027-PCOOP-ENGO,EACEA,"400,000 €",Pre-defined lump sum,12-36 months,Pre-fixed lump sum,5 March 2027 (speculative),Same logic as KA220 sectorial. Total project cost expected HIGHER than EU lump sum.
Cooperation Partnerships (European NGOs),European NGOs - Youth,ERASMUS-YOUTH-2027-PCOOP-ENGO,EACEA,"120,000 €",Pre-defined lump sum,12-36 months,Pre-fixed lump sum,5 March 2027 (speculative),Same logic as KA220 sectorial. Total project cost expected HIGHER than EU lump sum.
Cooperation Partnerships (European NGOs),European NGOs - Youth,ERASMUS-YOUTH-2027-PCOOP-ENGO,EACEA,"250,000 €",Pre-defined lump sum,12-36 months,Pre-fixed lump sum,5 March 2027 (speculative),Same logic as KA220 sectorial. Total project cost expected HIGHER than EU lump sum.
Cooperation Partnerships (European NGOs),European NGOs - Youth,ERASMUS-YOUTH-2027-PCOOP-ENGO,EACEA,"400,000 €",Pre-defined lump sum,12-36 months,Pre-fixed lump sum,5 March 2027 (speculative),Same logic as KA220 sectorial. Total project cost expected HIGHER than EU lump sum.
Small-Scale Partnerships (KA210),School Education (KA210-SCH),KA210-SCH-2027,National Agency,"30,000 €",Pre-defined lump sum,6-24 months,Pre-fixed lump sum,5 March 2027 (speculative),Total project cost expected HIGHER than lump sum.
Small-Scale Partnerships (KA210),School Education (KA210-SCH),KA210-SCH-2027,National Agency,"60,000 €",Pre-defined lump sum,6-24 months,Pre-fixed lump sum,5 March 2027 (speculative),Total project cost expected HIGHER than lump sum.
Small-Scale Partnerships (KA210),VET (KA210-VET),KA210-VET-2027,National Agency,"30,000 €",Pre-defined lump sum,6-24 months,Pre-fixed lump sum,5 March 2027 (speculative),Total project cost expected HIGHER than lump sum.
Small-Scale Partnerships (KA210),VET (KA210-VET),KA210-VET-2027,National Agency,"60,000 €",Pre-defined lump sum,6-24 months,Pre-fixed lump sum,5 March 2027 (speculative),Total project cost expected HIGHER than lump sum.
Small-Scale Partnerships (KA210),Adult Education (KA210-ADU),KA210-ADU-2027,National Agency,"30,000 €",Pre-defined lump sum,6-24 months,Pre-fixed lump sum,5 March 2027 (speculative),Total project cost expected HIGHER than lump sum.
Small-Scale Partnerships (KA210),Adult Education (KA210-ADU),KA210-ADU-2027,National Agency,"60,000 €",Pre-defined lump sum,6-24 months,Pre-fixed lump sum,5 March 2027 (speculative),Total project cost expected HIGHER than lump sum.
Small-Scale Partnerships (KA210),Youth (KA210-YOU),KA210-YOU-2027,National Agency,"30,000 €",Pre-defined lump sum,6-24 months,Pre-fixed lump sum,5 March 2027 (speculative),Total project cost expected HIGHER than lump sum.
Small-Scale Partnerships (KA210),Youth (KA210-YOU),KA210-YOU-2027,National Agency,"60,000 €",Pre-defined lump sum,6-24 months,Pre-fixed lump sum,5 March 2027 (speculative),Total project cost expected HIGHER than lump sum.
European Partnerships for School Development (EPSD),EPSD (KA240-SCH),KA240-SCH-2027,National Agency,"400,000 €",Fixed lump sum,36 months,Pre-fixed lump sum,9 April 2027 (speculative),NEW 2026 ACTION. School authorities expected to contribute additional resources for systemic impact.
Alliances for Innovation,Lot 1 - Education & Enterprises (2 yr),ERASMUS-EDU-2027-PI-ALL-INNO-EDU-ENTERP,EACEA,"1,000,000 €",Max budget-based,2 years,80%,10 March 2027 (speculative),"Total project budget ≥ 125% of EU grant; industrial partners often contribute heavily."
Alliances for Innovation,Lot 1 - Education & Enterprises (3 yr),ERASMUS-EDU-2027-PI-ALL-INNO-EDU-ENTERP,EACEA,"1,500,000 €",Max budget-based,3 years,80%,10 March 2027 (speculative),"Total project budget ≥ 125% of EU grant; industrial partners often contribute heavily."
Alliances for Innovation,Lot 2 - Sectoral Cooperation (Blueprint),ERASMUS-EDU-2027-PI-ALL-INNO-BLUEPRINT,EACEA,"4,000,000 €",Max budget-based,4 years,80%,10 March 2027 (speculative),"Total project budget ≥ 125% of EU grant; 20% own/third-party resources."
Alliances for Innovation,Lot 3 - STEM Skills Foundries,ERASMUS-EDU-2027-PI-ALL-INNO-STEM,EACEA,"1,500,000 €",Max budget-based,2 years,80%,10 March 2027 (speculative),"New 2026 lot. Total project budget ≥ 125% of EU grant; 20% own/third-party resources."
Partnerships for Excellence,Centres of Vocational Excellence (CoVE),ERASMUS-EDU-2027-PEX-COVE,EACEA,"4,000,000 €",Max budget-based,48 months,80%,3 September 2027 (speculative),"Total project budget ≥ 125% of EU grant; 20% own/third-party resources."
Partnerships for Excellence,Erasmus+ Teacher Academies,ERASMUS-EDU-2027-PEX-TEACH-ACA,EACEA,"1,500,000 €",Max budget-based,36 months,80%,26 March 2027 (speculative),"Total project budget ≥ 125% of EU grant; 20% own/third-party resources."
Partnerships for Excellence,European Universities,ERASMUS-EDU-2027-EUR-UNIV,EACEA,"6,400,000 €",Max budget-based (indicative),24 months,80%,TBD 2027 (speculative),Total budget call: 145.6M / ~22-24 alliances. National/regional co-funding typically added.
Partnerships for Excellence,Erasmus Mundus Joint Masters (EMJM),ERASMUS-EDU-2027-PEX-EMJM-MOB,EACEA,"5,000,000 €",Max budget-based (variable),Up to 78 months,Mixed (lump sums + scholarships),11 February 2027 (speculative),Approx ceiling. Tuition fees and additional costs may be co-financed by institutions.
Partnerships for Excellence,Erasmus Mundus Design Measures,ERASMUS-EDU-2027-EMJM-DESIGN,EACEA,"55,000 €",Fixed lump sum,15 months,Pre-fixed lump sum,11 February 2027 (speculative),"Single small lump sum; institutions cover additional design-phase costs."
Capacity Building HE (CBHE),Region 1 Western Balkans - Strand 1 (min),ERASMUS-EDU-2027-CBHE-WB,EACEA,"200,000 €",Min budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 1 (Fostering access). Region 1. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 1 Western Balkans - Strand 1 (max),ERASMUS-EDU-2027-CBHE-WB,EACEA,"400,000 €",Max budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 1 (Fostering access). Region 1. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 1 Western Balkans - Strand 2 (min),ERASMUS-EDU-2027-CBHE-WB,EACEA,"400,000 €",Min budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 2 (Partnerships for transformation). Region 1. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 1 Western Balkans - Strand 2 (max),ERASMUS-EDU-2027-CBHE-WB,EACEA,"800,000 €",Max budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 2 (Partnerships for transformation). Region 1. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 1 Western Balkans - Strand 3 (min),ERASMUS-EDU-2027-CBHE-WB,EACEA,"600,000 €",Min budget-based,36-48 months,90%,10 February 2027 (speculative),Strand 3 (Structural Reform). Region 1. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 1 Western Balkans - Strand 3 (max),ERASMUS-EDU-2027-CBHE-WB,EACEA,"1,000,000 €",Max budget-based,36-48 months,90%,10 February 2027 (speculative),Strand 3 (Structural Reform). Region 1. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 2 Neighbourhood East - Strand 1 (min),ERASMUS-EDU-2027-CBHE-NE,EACEA,"200,000 €",Min budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 1 (Fostering access). Region 2. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 2 Neighbourhood East - Strand 1 (max),ERASMUS-EDU-2027-CBHE-NE,EACEA,"400,000 €",Max budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 1 (Fostering access). Region 2. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 2 Neighbourhood East - Strand 2 (min),ERASMUS-EDU-2027-CBHE-NE,EACEA,"400,000 €",Min budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 2 (Partnerships for transformation). Region 2. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 2 Neighbourhood East - Strand 2 (max),ERASMUS-EDU-2027-CBHE-NE,EACEA,"800,000 €",Max budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 2 (Partnerships for transformation). Region 2. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 2 Neighbourhood East - Strand 3 (min),ERASMUS-EDU-2027-CBHE-NE,EACEA,"600,000 €",Min budget-based,36-48 months,90%,10 February 2027 (speculative),Strand 3 (Structural Reform). Region 2. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 2 Neighbourhood East - Strand 3 (max),ERASMUS-EDU-2027-CBHE-NE,EACEA,"1,000,000 €",Max budget-based,36-48 months,90%,10 February 2027 (speculative),Strand 3 (Structural Reform). Region 2. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 3 South-Mediterranean Countries - Strand 1 (min),ERASMUS-EDU-2027-CBHE-SMC,EACEA,"200,000 €",Min budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 1 (Fostering access). Region 3. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 3 South-Mediterranean Countries - Strand 1 (max),ERASMUS-EDU-2027-CBHE-SMC,EACEA,"400,000 €",Max budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 1 (Fostering access). Region 3. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 3 South-Mediterranean Countries - Strand 2 (min),ERASMUS-EDU-2027-CBHE-SMC,EACEA,"400,000 €",Min budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 2 (Partnerships for transformation). Region 3. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 3 South-Mediterranean Countries - Strand 2 (max),ERASMUS-EDU-2027-CBHE-SMC,EACEA,"800,000 €",Max budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 2 (Partnerships for transformation). Region 3. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 3 South-Mediterranean Countries - Strand 3 (min),ERASMUS-EDU-2027-CBHE-SMC,EACEA,"600,000 €",Min budget-based,36-48 months,90%,10 February 2027 (speculative),Strand 3 (Structural Reform). Region 3. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 3 South-Mediterranean Countries - Strand 3 (max),ERASMUS-EDU-2027-CBHE-SMC,EACEA,"1,000,000 €",Max budget-based,36-48 months,90%,10 February 2027 (speculative),Strand 3 (Structural Reform). Region 3. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 5a Asia - Strand 1 (min),ERASMUS-EDU-2027-CBHE-ASIA,EACEA,"200,000 €",Min budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 1 (Fostering access). Region 5a. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 5a Asia - Strand 1 (max),ERASMUS-EDU-2027-CBHE-ASIA,EACEA,"400,000 €",Max budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 1 (Fostering access). Region 5a. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 5a Asia - Strand 2 (min),ERASMUS-EDU-2027-CBHE-ASIA,EACEA,"400,000 €",Min budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 2 (Partnerships for transformation). Region 5a. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 5a Asia - Strand 2 (max),ERASMUS-EDU-2027-CBHE-ASIA,EACEA,"800,000 €",Max budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 2 (Partnerships for transformation). Region 5a. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 5a Asia - Strand 3 (min),ERASMUS-EDU-2027-CBHE-ASIA,EACEA,"600,000 €",Min budget-based,36-48 months,90%,10 February 2027 (speculative),Strand 3 (Structural Reform). Region 5a. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 5a Asia - Strand 3 (max),ERASMUS-EDU-2027-CBHE-ASIA,EACEA,"1,000,000 €",Max budget-based,36-48 months,90%,10 February 2027 (speculative),Strand 3 (Structural Reform). Region 5a. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 6 Central Asia - Strand 1 (min),ERASMUS-EDU-2027-CBHE-CA,EACEA,"200,000 €",Min budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 1 (Fostering access). Region 6. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 6 Central Asia - Strand 1 (max),ERASMUS-EDU-2027-CBHE-CA,EACEA,"400,000 €",Max budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 1 (Fostering access). Region 6. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 6 Central Asia - Strand 2 (min),ERASMUS-EDU-2027-CBHE-CA,EACEA,"400,000 €",Min budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 2 (Partnerships for transformation). Region 6. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 6 Central Asia - Strand 2 (max),ERASMUS-EDU-2027-CBHE-CA,EACEA,"800,000 €",Max budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 2 (Partnerships for transformation). Region 6. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 6 Central Asia - Strand 3 (min),ERASMUS-EDU-2027-CBHE-CA,EACEA,"600,000 €",Min budget-based,36-48 months,90%,10 February 2027 (speculative),Strand 3 (Structural Reform). Region 6. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 6 Central Asia - Strand 3 (max),ERASMUS-EDU-2027-CBHE-CA,EACEA,"1,000,000 €",Max budget-based,36-48 months,90%,10 February 2027 (speculative),Strand 3 (Structural Reform). Region 6. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 7a Middle East - Strand 1 (min),ERASMUS-EDU-2027-CBHE-ME,EACEA,"200,000 €",Min budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 1 (Fostering access). Region 7a. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 7a Middle East - Strand 1 (max),ERASMUS-EDU-2027-CBHE-ME,EACEA,"400,000 €",Max budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 1 (Fostering access). Region 7a. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 7a Middle East - Strand 2 (min),ERASMUS-EDU-2027-CBHE-ME,EACEA,"400,000 €",Min budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 2 (Partnerships for transformation). Region 7a. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 7a Middle East - Strand 2 (max),ERASMUS-EDU-2027-CBHE-ME,EACEA,"800,000 €",Max budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 2 (Partnerships for transformation). Region 7a. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 7a Middle East - Strand 3 (min),ERASMUS-EDU-2027-CBHE-ME,EACEA,"600,000 €",Min budget-based,36-48 months,90%,10 February 2027 (speculative),Strand 3 (Structural Reform). Region 7a. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 7a Middle East - Strand 3 (max),ERASMUS-EDU-2027-CBHE-ME,EACEA,"1,000,000 €",Max budget-based,36-48 months,90%,10 February 2027 (speculative),Strand 3 (Structural Reform). Region 7a. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 8a Pacific - Strand 1 (min),ERASMUS-EDU-2027-CBHE-PAC,EACEA,"200,000 €",Min budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 1 (Fostering access). Region 8a. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 8a Pacific - Strand 1 (max),ERASMUS-EDU-2027-CBHE-PAC,EACEA,"400,000 €",Max budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 1 (Fostering access). Region 8a. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 8a Pacific - Strand 2 (min),ERASMUS-EDU-2027-CBHE-PAC,EACEA,"400,000 €",Min budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 2 (Partnerships for transformation). Region 8a. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 8a Pacific - Strand 2 (max),ERASMUS-EDU-2027-CBHE-PAC,EACEA,"800,000 €",Max budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 2 (Partnerships for transformation). Region 8a. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 8a Pacific - Strand 3 (min),ERASMUS-EDU-2027-CBHE-PAC,EACEA,"600,000 €",Min budget-based,36-48 months,90%,10 February 2027 (speculative),Strand 3 (Structural Reform). Region 8a. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 8a Pacific - Strand 3 (max),ERASMUS-EDU-2027-CBHE-PAC,EACEA,"1,000,000 €",Max budget-based,36-48 months,90%,10 February 2027 (speculative),Strand 3 (Structural Reform). Region 8a. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 9 Sub-Saharan Africa - Strand 1 (min),ERASMUS-EDU-2027-CBHE-SSA,EACEA,"200,000 €",Min budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 1 (Fostering access). Region 9. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 9 Sub-Saharan Africa - Strand 1 (max),ERASMUS-EDU-2027-CBHE-SSA,EACEA,"400,000 €",Max budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 1 (Fostering access). Region 9. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 9 Sub-Saharan Africa - Strand 2 (min),ERASMUS-EDU-2027-CBHE-SSA,EACEA,"400,000 €",Min budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 2 (Partnerships for transformation). Region 9. ONLY action with 90% rate.
Capacity Building HE (CBHE),Region 9 Sub-Saharan Africa - Strand 2 (max),ERASMUS-EDU-2027-CBHE-SSA,EACEA,"800,000 €",Max budget-based,24-36 months,90%,10 February 2027 (speculative),Strand 2 (Partnerships for transformation). Region 9. ONLY action with 90% rate.
